series,Units,date,price
Angola (LPG) ,kwanzas/kg,2015-12-01,62.5
Argentina (LPG),Argentine Peso per litre,2015-12-01,3.6
Belize (100 lbs),BEL$/cylinder,2015-12-01,83.88
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2015-12-01,54.071
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2015-12-01,56.822
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2015-12-01,50.76
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2015-12-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2015-12-01,6769.11764705882
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2015-12-01,6601.96078431373
Curacao (100 lb bottle),NAF per 100 lb bottle,2015-12-01,45.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2015-12-01,9.0
El Salvador (10 lbs)- commercial,US$/cylinder,2015-12-01,3.62
El Salvador (10 lbs)- hh,US$/cylinder,2015-12-01,3.62
El Salvador (20 lbs)- commercial,US$/cylinder,2015-12-01,7.2
El Salvador (20 lbs)- hh,US$/cylinder,2015-12-01,7.2
El Salvador (25 lbs) - commercial,US$/cylinder,2015-12-01,8.97
El Salvador (25 lbs) - hh,US$/cylinder,2015-12-01,8.97
El Salvador (35 lbs) - commercial,US$/cylinder,2015-12-01,12.56
El Salvador (35 lbs) - hh,US$/cylinder,2015-12-01,12.56
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2015-12-01,27.85
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2015-12-01,10.44
Fiji (LPG per kg wholesale),Fiji dollar per kg,2015-12-01,2.32
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2015-12-01,42.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2015-12-01,90.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2015-12-01,1.72071
Jamaica (Butane),JMD/liter,2015-12-01,38.970000000000006
Jamaica (Propane),JMD/liter,2015-12-01,31.403999999999996
Jordan (LPG - 12.5kg),JD/CY,2015-12-01,7.5
Lebanon (LPG 10kg),LBP/cylinder,2015-12-01,12900.0
Malaysia,RM/kg,2015-12-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2015-12-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2015-12-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2015-12-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2015-12-01,19.31
Mozambique,metical/kg,2015-12-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2015-12-01,217.0441176470588
Niger (12.5 kg cylinder),XOF/cylinder,2015-12-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2015-12-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2015-12-01,1800.0
Niger (per kg),XOF/kg,2015-12-01,300.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2015-12-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2015-12-01,3230.0
Syria (LPG subsidized 10kg),lira/cylinder,2015-12-01,1800.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2015-12-01,16.436970967741935
Thailand (LPG cooking) - Retail Price,Baht/kg,2015-12-01,22.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2015-12-01,16.436970967741935
Thailand (LPG industry) - Retail Price,Baht/kg,2015-12-01,22.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2015-12-01,16.436970967741935
Thailand (LPG low income hh) - Retail Price,Baht/kg,2015-12-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2015-12-01,6500.0
Togo (6kg bottle),XOF/cylinder,2015-12-01,3120.0
Uruguay,UYU/kg,2015-12-01,35.0
Angola (LPG) ,kwanzas/kg,2016-01-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-01-01,83.91
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-01-01,53.947
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-01-01,56.507
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-01-01,50.432
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-01-01,5000.0
